Muestra,Replica_1,Replica_2,Replica_3,Replica_4,Replica_5
1,83,81.2,78.7,75.7,77
2,88.6,78.3,78.8,71,84.2
3,85.7,75.8,84.3,75.2,81
4,80.8,74.4,82.5,74.1,75.7
5,83.4,78.4,82.6,78.2,78.9
6,75.3,79.9,87.3,89.7,81.8
7,74.5,78,80.8,73.4,79.7
8,79.2,84.4,81.5,86,74.5
9,80.5,86.2,76.2,64.1,80.2
10,75.7,75.2,71.1,82.1,74.3
11,80,81.5,78.4,73.8,78.1
12,80.6,81.8,79.3,73.8,81.7
13,82.7,81.3,79.1,82,79.5
14,79.2,74.9,78.6,77.7,75.3
15,85.5,82.1,82.8,73.4,71.7
16,78.8,79.6,80.2,79.1,80.8
17,82.1,78.2,75.5,78.2,82.1
18,84.5,76.9,83.5,81.2,79.2
19,79,77.8,81.2,84.4,81.6
20,84.5,73.1,78.6,78.7,80.6
